,Caption,Instagram,YouTube,Twitter,positive_words,negative_words,length,word_count,male_words,female_words,afinn
93,"A few of my favorite things in the entire world!!! UPDATE: I had something I've thought about for a while that I want to share. This page is my highlights and a few low lights. I post what I am willing to share with you guys. I hear people say all the time that they wish they had someone else's life based on a few pictures.. we all do it. But this is me sharing some happy moments with you guys. Trust me, my life isn't always this filtered and flowery... We are all on our own journey.  ",1,0,0,4,0,490,98,0,0,10.0
94,"And lastly, my actual you are an incredible woman. The way you handle life's most confusing moments is indescribable and graceful. You are moved by the littlest stories to the most heartbreaking ones, you will give someone your perfume if they say you smell nice, you are freaking hilarious and always stand firm in your faith, a loving sister, an amazing friend and a beautiful daughter. You are the definition of FEARFULLY and WONDERFULLY made baby! ",1,0,0,6,5,452,76,0,0,15.0
95,"Best friend turned 26. Part 2. because these women have stayed by my side for 7 years 12 years) 4, because you are my 4 for the rest of my life. I love you ladies. You all inspire me to be better, stronger, closer to god and we have lived the most INSANE story together already. Can't wait for 50 more!! Ps had an actual panic attack  it's a dot!  ",1,0,0,3,3,348,70,0,2,8.0
96,My best friend turned 26. Part one. ,1,0,0,1,0,36,7,0,0,4.0
97,"trying out my new Selena bags with my friends. We went jumping on trampolines. Love y'all! ""not perfect, always me"" ",1,0,0,1,0,116,20,0,0,6.0
98,So excited to be a part of the WE Day inspiration once again!  Watch on ABC August 17 at 8/7c - you won't want to miss Nellie's story! ,1,0,0,2,1,135,28,0,0,7.0
99,Hey fam- It's almost here! First look at my new campaign. My exclusive clothing collection drops in a couple weeks. ,1,0,0,0,0,116,20,0,0,2.0
100,randoms and film. ,1,0,0,0,0,18,3,0,0,0.0
101,life ,1,0,0,0,0,5,1,0,0,0.0
102,Another year down.. Thank you for all the bday love. I couldn't be more appreciative of you and my best friends for celebrating with me. I love you guys like crazy! God bless! ,1,0,0,5,0,176,33,1,0,17.0
103,So excited for everyone to finally see the latest chapter of - it's out now!!! So much fun getting the fam back together ,1,0,0,2,0,121,23,0,0,7.0
104,Striking a pose in the new Defy Mid. ,1,0,0,1,1,37,8,0,0,0.0
105,Hope everyone had a great 4th of July! Spent mine with some of my favorite people  ,1,0,0,2,0,83,16,0,0,7.0
106,Introducing DEFY- my latest campaign with ,1,0,0,0,0,42,6,0,0,0.0
107,I'm grateful for those I surround myself with. And this woman right here happens to be one of my favorites. Love our tradition and I love you. ,1,0,0,4,0,143,27,0,2,11.0
108,You're stuck in my head and I can't get you out of it. ,1,0,0,0,1,55,13,0,0,-2.0
109,I wanna hold you when I'm not supposed to... ,1,0,0,0,0,45,9,0,0,0.0
110,"Out May 10th, part of the S2 soundtrack. I'm so excited for you guys to hear it ",1,0,0,1,0,80,17,1,0,3.0
111,Always need a subtle change. Germany family time  grateful for the welcome! ,1,0,0,1,0,76,12,0,0,5.0
112,"Decided to come to Germany to meet my family and THANK THEM and THANK YOU for my first shoe collab being sold out!!  also for every shoe you bought, you gave to the lupus alliance foundation a donation! ",1,0,0,2,0,203,38,0,0,6.0
113,"A while back I had the honor of being apart of the global citizen concert by having these amazing young men sing my song kill em with kindness in an epically, beautiful way. My heart was legit exploding to see them today!! ",1,0,0,4,1,223,42,2,0,8.0
114,-my sixth year doing this incredible show. They have such a force of young people that are doing so much for their communities and the world. This is Nellie. She's fearless and is wanting to spread awareness about kidney diseases. ,1,0,0,2,0,231,40,0,0,1.0
115,Photo wall opportunity with the Parker bag ,1,0,0,0,0,43,7,0,0,2.0
116,"I don't want this to just be an Instagram post anymore. PLEASE. ENOUGH. These people, families and CHILDREN have suffered enough. Today we march for our lives. I'm going to continue to trust god with the future and also play my part in bringing change. ",1,0,0,1,1,253,45,0,0,2.0
117,JO JO you're insane. Thank you from the bottom of my heart. I walked into my home to this! ,1,0,0,1,0,91,19,0,0,0.0
118,"Protect kids, not guns! ",1,0,0,1,0,24,4,0,0,1.0
119,"Fam, my second collection for is going to include clothes! So grateful I got to work on this with Can't wait to show you this fall. ",1,0,0,2,0,132,26,0,0,3.0
120,Thank you and And so grateful to for the interview- link in bio. Wearing by And also thanks to my team  ,1,0,0,2,0,104,21,0,0,7.0
121,"The home I grew up in, from birth to 13... (no one was home when I knocked this time lol) I visit this place every chance I get. In many ways it very well could have been better than my life today, but I'm grateful for a voice that can enable change today. Even when I don't know how to do it well or actually want it. I love you Grand Prairie. Thank you.  ",1,0,0,7,0,357,74,0,0,18.0
122,A New Year's first just for you guys- I'm so excited to reveal my new campaign. ,1,0,0,1,0,80,16,0,0,3.0
123,"It's time to shift the balance in the workplace, from representing the few to representing us all. ",1,0,0,0,0,99,17,0,0,0.0
124,"AND to this gorgeous, kind hearted lady. You endured this character with such strength and softness. I am so proud you are being acknowledged for doing just that! GOLDEN GLOBE NOMINEE!!! Ladies are shining! ",1,0,0,2,0,207,34,0,4,6.0
125,"And this year wraps up with another committed journey with -Season 2 is coming. To every person on this project, thank you for coming back. Good or bad we are committed to having the tough conversations, to telling the story that can start change. ",1,0,0,3,1,248,44,0,0,4.0
126,Currently. Until the next year. Here's where I'll be. ,1,0,0,0,0,54,9,0,0,0.0
127,Thank you beyond for your acknowledgment and honor but honestly thank you more for the event you held for women. That night was so inspiring and every woman spoke eloquently and with such force. I'll try to continue to give my best to even remotely live up to a title. In the mean time I hope we all continue to give our best when the world wants to give us the worst. We aren't stopping the fight. ,1,0,0,7,0,399,77,0,2,12.0
128,thank you for being apart of this phase can't wait for the next ,1,0,0,1,0,64,13,0,0,2.0
129,all apologies ,1,0,0,0,0,14,2,0,0,0.0
130,i stole from my sister ,1,0,0,0,1,23,5,0,2,-2.0
131,Guys- I'm so excited to share my first campaign for the new Phenom. ,1,0,0,1,0,68,13,0,0,4.0
132,so i am blonde now ,1,0,0,0,0,19,5,0,0,0.0
133,Looked for love in every stranger ,1,0,0,1,1,34,6,0,0,3.0
134,Tonight ,1,0,0,0,0,8,1,0,0,0.0
135,American Music Awards ,1,0,0,1,0,22,3,0,0,3.0
136,sunday. AMAs. ,1,0,0,0,0,14,2,0,0,0.0
137, ,1,0,0,0,0,1,0,0,0,0.0
138,Wolves  ,1,0,0,0,0,8,1,0,0,0.0
139,been crying with the wolves to get to you ,1,0,0,0,0,42,9,0,0,-2.0
140,"Blindly I am following, break down these walls and come on in ",1,0,0,0,1,62,12,0,0,0.0
141,Wolves video out now on apple -thank you to my Bay Area fam ,1,0,0,0,0,60,13,0,0,2.0
142,Wolves is out now!  ,1,0,0,0,0,20,4,0,0,0.0
143, ,1,0,0,0,0,1,0,0,0,0.0
144,"I've been running through the jungle, I've been crying with the wolves... 10.25 ",1,0,0,0,0,80,13,0,0,-2.0
145,10.25 ,1,0,0,0,0,6,1,0,0,0.0
146,Coming 10.25... WOLVES x ,1,0,0,0,0,25,4,0,0,0.0
147,Momma and I ,1,0,0,0,0,12,3,0,2,0.0
148,Join all of us right now!!! and on -we are one ,1,0,0,1,0,47,11,0,0,1.0
149,Officially a part of the fam ,1,0,0,0,0,29,6,0,0,0.0
150,"I'm very aware some of my fans had noticed I was laying low for part of the summer and questioning why I wasn't promoting my new music, which I was extremely proud of. So I found out I needed to get a kidney transplant due to my Lupus and was recovering. It was what I needed to do for my overall health. I honestly look forward to sharing with you, soon my journey through these past several months as I have always wanted to do with you. Until then I want to publicly thank my family and incredible team of doctors for everything they have done for me prior to and post-surgery. And finally, there aren't words to describe how I can possibly thank my beautiful friend Francia Raisa. She gave me the ultimate gift and sacrifice by donating her kidney to me. I am incredibly blessed. I love you so much sis. Lupus continues to be very misunderstood but progress is being made. For more information regarding Lupus please go to the Lupus Research Alliance website: www.lupusresearch.org/ -by grace through faith ",1,0,0,11,1,1011,182,0,2,21.0
151,"Sometimes it's incredibly difficult to wake up every day knowing there is so much going on in the world. At times I feel selfish, I ask why, I ask how can this change? Will it actually ever change? I try to contribute my heart before anything because it can be so easy to lose the desire to have hope when sometimes all I want to be is angry. When I read about the beautiful women who wake up consciously every day to make a change, it inspires me to want to do so much more. Not really sure how I got so lucky but thank you for highlighting the power of what we can and will always strive to be. I believe in the goodness in the land of the living. I hope this is just the beginning of more change. ",1,0,0,6,2,700,141,0,2,14.0
152,Thank you for letting me be apart of the 5th annual print edition. Very grateful ,1,0,0,2,0,81,15,0,0,5.0
153,It's been so much fun working with and on designing my very own bag: the Selena Grace. Come see it and meet me at Coach House New York on Sept. 13! ,1,0,0,1,0,148,31,0,0,5.0
154,Also so stoked I got to show you a sneak peak at my bag I designed ,1,0,0,0,1,67,16,0,0,0.0
155,Ahhh!thank you Instyle!! wearing dress for the September cover! Photograph by Story by Hair for Makeup Fashion Editor Manicure: (basically the entire squad) ,1,0,0,0,0,157,23,0,0,2.0
156,Fetish Video directed by and ft. coming Wednesday. ,1,0,0,0,0,51,8,0,0,0.0
157,My people ,1,0,0,0,0,10,2,0,0,0.0
158,My Petra  ,1,0,0,0,0,10,2,0,0,0.0
159,Thank you for all of my bday love. I couldn't be more blessed. A lot of you don't realize how much you mean to me. I. Love. You. --think 25 is going to be epic. xo ,1,0,0,1,0,164,36,0,0,11.0
160,"I'm not surprised, I sympathize. ",1,0,0,0,0,33,5,0,0,0.0
161,Fetish. Thursday. ,1,0,0,0,0,18,2,0,0,0.0
162,JULY 13 ,1,0,0,0,0,8,2,0,0,0.0
163,FETISH ,1,0,0,0,0,7,1,0,0,0.0
164,family ,1,0,0,0,0,7,1,0,0,0.0
165,Fall 2017 campaign. Thank you ,1,0,0,1,1,30,5,0,0,2.0
166,Badliar --- ,1,0,0,0,0,12,2,0,0,0.0
167, thanks for watching the music video ,1,0,0,0,0,37,6,0,0,2.0
168,Bad Liar video  ,1,0,0,0,2,16,3,0,0,-6.0
169,Bad Liar with the all time brilliant Jesse Peretz ,1,0,0,1,2,50,9,0,0,-2.0
170,Bad Liar music video is out by the way  ,1,0,0,0,2,40,9,0,0,-6.0
171,- a film ,1,0,0,0,0,9,3,0,0,0.0
172,Coming soon ,1,0,0,0,0,12,2,0,0,0.0
173,Wednesday. ,1,0,0,0,0,11,1,0,0,0.0
174, ,1,0,0,0,0,1,0,0,0,0.0
175,My heart will forever and always be with people. There's never enough I could do to thank you but more importantly show you that YOU matter and are beyond watched over. ,1,0,0,2,0,169,31,0,0,3.0
176,NY ,1,0,0,0,0,3,1,0,0,0.0
177, ,1,0,0,0,0,1,0,0,0,0.0
178,What's to come is never what they expect  thank you for inspiring me to be me ,1,0,0,2,0,78,16,0,0,5.0
179,date night ,1,0,0,0,0,11,2,0,0,0.0
180,5.18 ,1,0,0,0,0,5,1,0,0,0.0
181,As the new face of they gave me the opportunity to personalize this bag for my Momma (that I'm pretty sure my sister is going to steal anyhow). This is a very common exchange between the two of us. Happy (early) Mother's Day to the woman who is the reason for my existence. ,1,0,0,2,1,274,53,0,6,4.0
182,So proud and grateful to and for tonight. Thank you so much Anna for a beautiful event and for what you do. ,1,0,0,4,0,108,22,0,0,10.0
183,Because it should be fun and truly authentic my crew  ,1,0,0,2,0,54,10,0,0,4.0
184,5th time being apart of the 2nd time hosting this amazing event. They have inspired and provided a platform to help kids and families be THE movement. They prove that you can do anything you set your mind to. No matter what age. ,1,0,0,1,0,229,43,0,0,8.0
185,Very much in my feelings about my big brother getting married. Even though we for sure knew it would be him first. May God bless you and your beautiful wife Henrie!  ,1,0,0,2,0,166,31,3,1,7.0
186,always playing and working on something magical  ,1,0,0,1,0,49,7,0,0,0.0
187,Wish the rest of the crew was with us today. Overwhelmed with the response and love is receiving. Thank you to each beautiful person who has watched and talked about the message of our show. ,1,0,0,3,1,191,35,0,0,9.0
188,"Our show came out tonight and I couldn't be more overwhelmed with pride and joy. After 7 years of holding onto this book, I couldn't of picked a better time for this message to exist. Jay Asher wrote a beautifully tragic, compelling story and we were lucky to have brought it to life. Thank you to every single soul that put their heart into this passion project ",1,0,0,6,1,363,67,0,0,12.0
189,is celebrating world kindness day and I got to spend it with people who fully will change our world one day. introduced me to which is an after school organization that encourages girls to believe that they have the capability to do anything they set their mind to. It's crazy to me how much they are willing put others before themselves. ,1,0,0,3,1,339,61,0,2,6.0
190,Wearing for !! ,1,0,0,0,0,15,3,0,0,0.0
191,I want to thank Rob Haskell for writing my story. I was a little nervous at how honest I was but you depicted where I'm at perfectly. I'm so grateful  ,1,0,0,3,1,151,30,0,0,7.0
192,Ok freaking out a little. Thrilled to share my first American cover with you! Read the story and see the full spread in the link in my bio. Photographed by and ,1,0,0,1,1,160,31,0,0,6.0
193,"Today I watched a sermon from one of my favorites. ""I don't really understand myself, for I want to do what is right, but I don't do it. Instead, I do what I hate."" Romans 7:15 ",1,0,0,0,0,177,36,0,0,0.0
194,"Thank you fam for 110. I promise I will continue to cherish my platform and speaking truth but more importantly, each and every one of you have changed my life. I'm very grateful. ",1,0,0,3,0,180,33,0,0,8.0
195,Proud of my trainers husband cause he's goals for real ,1,0,0,1,0,55,10,2,0,2.0
196,I have a full crush on ,1,0,0,0,1,23,6,0,0,-1.0
197,Thursday. ,1,0,0,0,0,10,1,0,0,0.0
198,Morning walks ,1,0,0,0,0,14,2,0,0,0.0
199,"What 13 reasons why has represented was an authentic story of what every kid deals with in every day life. The pressure, the unrealistic expectations of what they believe they should be. Whether you have read this book or not, it's a story of what every kid does and will continue to go through - unless we keep talking about it. People are hurting and deserve to be heard. Tired of others portraying a false idea of what every day life is. I hope can enlighten people to what words mean when you say them. ",1,0,0,2,4,507,95,0,0,-2.0
200,After 6 years waiting to find the perfect Hannah and Clay for I couldn't be luckier we cast these two  ,1,0,0,2,0,103,20,0,0,3.0
201,"Helping the guys get ready for the Grammys. I said ""anything Gosling would wear please."" ",1,0,0,2,0,89,15,1,0,3.0
202,My boy  ,1,0,0,0,0,8,2,2,0,0.0
203,my momma. I sit back and think about how much she has done and shown me.. it truly has blown me away. She teaches me most about life and I couldn't be luckier to have a partner like her in life ,1,0,0,2,0,194,41,0,4,2.0
204,My world  ,1,0,0,0,0,10,2,0,0,0.0
205,I love you ,1,0,0,1,0,11,3,0,0,3.0
206,"This was the day I was nervous as hell going into for the first time to talk about -my mom found this book in 2009 and worked her ass off to make it with me, guide me and tell this story authentically (the only reason, beside Jay this project was even made) ",1,0,0,1,2,258,52,0,2,-10.0
