Caption,Instagram,YouTube,Twitter
"Yesterday at the Empowerment in Entertainment event, I had the honor to meet some of the brightest students who might never have imagined a career in Hollywood as they were given the opportunity to go to college and work with mentors in the industry. Thank you to the most courageous, brave, intellectual, strong, beautiful spirit that is Oprah for caring so much about empowering all walks of life but more importantly for being the action and not just standing behind the word. You DO it. Thank you for continually inspiring us to be kinder, greater and stretching all the boundaries for the better. ""From everyone to whom much has been given, much will be required."" ",1,0,0
"I met Theresa 5 years ago. We worked together and became best friends. She has taught me how to see life in a fun, carefree and uplifting way. She has shown me how to be a strong and fearless woman. She is beautiful, kind and smart. I saw how capable she was of achieving her dreams. I wanted nothing more than to see her pursue them and soar. And here you are making it happen T. I love you and I am so proud of you. ",1,0,0
Coachella for the night with T ,1,0,0
Loving my new Dreamer bag. ,1,0,0
throw b ,1,0,0
New season. New Parker. Same Fam. ,1,0,0
I Can't Get Enough video is out now. Can't believe we pulled it off in one take- even if I did fall once or twice trying. ,1,0,0
familia ,1,0,0
I Can't Get Enough is out now! Link in bio ,1,0,0
Back on set with Always in my Cali. ,1,0,0
"My best friend is getting married, so we celebrated her! Future Mrs. Lopez ",1,0,0
My sweet soul sister. Julia you have been a huge part of my life. You have taught me how to have courage when I have self doubt. This song is extremely close to my heart as I've experienced anxiety and know a lot of my friends do too. You're never alone if you feel this way. The message is much needed and I really hope you guys like it! ,1,0,0
Lots to look forward to in 2019. I can't wait to share the projects I've been working on with you. The first one is here: Cali  BY ,1,0,0
"It's been awhile since you have heard from me, but I wanted to wish everyone a happy new year and to thank you for your love and support. Last year was definitely a year of self-reflection, challenges and growth. It's always those challenges which show you who you are and what you are capable of overcoming. Trust me, it's not easy, but I am proud of the person I am becoming and look forward to the year ahead. Love you all. ",1,0,0
"Mood lol (I was looking at myself in the mirror -like an idiot!) Update: taking a social media break. Again. As much as I am grateful for the voice that social media gives each of us, I am equally grateful to be able to step back and live my life present to the moment I have been given. Kindness and encouragement only for a bit! Just remember- negative comments can hurt anybody's feelings. Obvi. ",1,0,0
 ,1,0,0
is my real life Barbie. She makes all my stuff look cooler sweater: and rocking cute ,1,0,0
"Alright. Speaking from my heart for over an hour to someone who puts those thoughts into paid words can be hard for me. The older I get the more I want my voice to be mine. This is all apart of my work within an industry that's been around longer than all of us have been. The purpose of my interview was three fold. My work with A21, my new collection with Coach, and some new music. As I'm aware there will always be interests in one's personal life because that's the pace of our 'social' generation. I'm grateful for my position and I will always find ways to make my job more about others and giving back-- all while having the best time with my music, fashion, film and my love for learning about the world that I'm eager to tap into more and more. Church is a name for something far more personal. There's always agenda seeking information on such a subject and I understand why. Rarely do I mention church (and I didn't) but I'll always feel comfortable talking about my values and beliefs. I respect that from everyone and anyone. I understand that reporters are working to grab the attention of a reader, however I will always work to ensure that what is public represents my truth. I'm a bit bummed but rarely surprised. Y'all know me and my heart. I can't help it. So I'll post some of MY photos from the collection and work with A21. My heart. And maybe edit my actual lyrics as you will all hear it soon  I love you guys to the moon and back. For more information on the work I do with A21 please, please visit link in my bio. So much more on that soon! ",1,0,0
"Alright. Speaking from my heart for over an hour to someone who puts those thoughts into paid words can be hard for me. The older I get the more I want my voice to be mine. This is all apart of my work within an industry that's been around longer than all of us have been. The purpose of my interview was three fold. My work with A21, my new collection with Coach, and some new music. As I'm aware there will always be interests in one's personal life because that's the pace of our 'social' generation. I'm grateful for my position and I will always find ways to make my job more about others and giving back-- all while having the best time with my music, fashion, film and my love for learning about the world that I'm eager to tap into more and more. Church is a name for something far more personal. There's always agenda seeking information on such a subject and I understand why. Rarely do I mention church (and I didn't) , but I'll always feel comfortable talking about my values and beliefs. I respect that from everyone and anyone. I understand that reporters are working to grab the attention of a reader, however I will always work to ensure that what is public represents my truth. I'm a bit bummed but rarely surprised. Y'all know me and my heart. I can't help it. So I'll post some of MY photos from the collection and work with A21. My heart. And maybe edit my actual lyrics as you will all hear it soon  I love you guys to the moon and back. For more information on the work I do with A21 please, please visit link in my bio. So much more on that soon! ",1,0,0
today was so fun ,1,0,0
"A few of my favorite things in the entire world!!! UPDATE: I had something I've thought about for a while that I want to share. This page is my highlights and a few low lights. I post what I am willing to share with you guys. I hear people say all the time that they wish they had someone else's life based on a few pictures.. we all do it. But this is me sharing some happy moments with you guys. Trust me, my life isn't always this filtered and flowery... We are all on our own journey.  ",1,0,0
"And lastly, my actual you are an incredible woman. The way you handle life's most confusing moments is indescribable and graceful. You are moved by the littlest stories to the most heartbreaking ones, you will give someone your perfume if they say you smell nice, you are freaking hilarious and always stand firm in your faith, a loving sister, an amazing friend and a beautiful daughter. You are the definition of FEARFULLY and WONDERFULLY made baby! ",1,0,0
"Best friend turned 26. Part 2. because these women have stayed by my side for 7 years 12 years) 4, because you are my 4 for the rest of my life. I love you ladies. You all inspire me to be better, stronger, closer to god and we have lived the most INSANE story together already. Can't wait for 50 more!! Ps had an actual panic attack  it's a dot!  ",1,0,0
My best friend turned 26. Part one. ,1,0,0
"trying out my new Selena bags with my friends. We went jumping on trampolines. Love y'all! ""not perfect, always me"" ",1,0,0
So excited to be a part of the WE Day inspiration once again!  Watch on ABC August 17 at 8/7c - you won't want to miss Nellie's story! ,1,0,0
Hey fam- It's almost here! First look at my new campaign. My exclusive clothing collection drops in a couple weeks. ,1,0,0
randoms and film. ,1,0,0
life ,1,0,0
Another year down.. Thank you for all the bday love. I couldn't be more appreciative of you and my best friends for celebrating with me. I love you guys like crazy! God bless! ,1,0,0
So excited for everyone to finally see the latest chapter of - it's out now!!! So much fun getting the fam back together ,1,0,0
Striking a pose in the new Defy Mid. ,1,0,0
Hope everyone had a great 4th of July! Spent mine with some of my favorite people  ,1,0,0
Introducing DEFY- my latest campaign with ,1,0,0
I'm grateful for those I surround myself with. And this woman right here happens to be one of my favorites. Love our tradition and I love you. ,1,0,0
You're stuck in my head and I can't get you out of it. ,1,0,0
I wanna hold you when I'm not supposed to... ,1,0,0
"Out May 10th, part of the S2 soundtrack. I'm so excited for you guys to hear it ",1,0,0
Always need a subtle change. Germany family time  grateful for the welcome! ,1,0,0
"Decided to come to Germany to meet my family and THANK THEM and THANK YOU for my first shoe collab being sold out!!  also for every shoe you bought, you gave to the lupus alliance foundation a donation! ",1,0,0
"A while back I had the honor of being apart of the global citizen concert by having these amazing young men sing my song kill em with kindness in an epically, beautiful way. My heart was legit exploding to see them today!! ",1,0,0
-my sixth year doing this incredible show. They have such a force of young people that are doing so much for their communities and the world. This is Nellie. She's fearless and is wanting to spread awareness about kidney diseases. ,1,0,0
Photo wall opportunity with the Parker bag ,1,0,0
"I don't want this to just be an Instagram post anymore. PLEASE. ENOUGH. These people, families and CHILDREN have suffered enough. Today we march for our lives. I'm going to continue to trust god with the future and also play my part in bringing change. ",1,0,0
JO JO you're insane. Thank you from the bottom of my heart. I walked into my home to this! ,1,0,0
"Protect kids, not guns! ",1,0,0
"Fam, my second collection for is going to include clothes! So grateful I got to work on this with Can't wait to show you this fall. ",1,0,0
Thank you and And so grateful to for the interview- link in bio. Wearing by And also thanks to my team  ,1,0,0
"The home I grew up in, from birth to 13... (no one was home when I knocked this time lol) I visit this place every chance I get. In many ways it very well could have been better than my life today, but I'm grateful for a voice that can enable change today. Even when I don't know how to do it well or actually want it. I love you Grand Prairie. Thank you.  ",1,0,0
A New Year's first just for you guys- I'm so excited to reveal my new campaign. ,1,0,0
"It's time to shift the balance in the workplace, from representing the few to representing us all. ",1,0,0
"AND to this gorgeous, kind hearted lady. You endured this character with such strength and softness. I am so proud you are being acknowledged for doing just that! GOLDEN GLOBE NOMINEE!!! Ladies are shining! ",1,0,0
"And this year wraps up with another committed journey with -Season 2 is coming. To every person on this project, thank you for coming back. Good or bad we are committed to having the tough conversations, to telling the story that can start change. ",1,0,0
Currently. Until the next year. Here's where I'll be. ,1,0,0
Thank you beyond for your acknowledgment and honor but honestly thank you more for the event you held for women. That night was so inspiring and every woman spoke eloquently and with such force. I'll try to continue to give my best to even remotely live up to a title. In the mean time I hope we all continue to give our best when the world wants to give us the worst. We aren't stopping the fight. ,1,0,0
thank you for being apart of this phase can't wait for the next ,1,0,0
all apologies ,1,0,0
i stole from my sister ,1,0,0
Guys- I'm so excited to share my first campaign for the new Phenom. ,1,0,0
so i am blonde now ,1,0,0
Looked for love in every stranger ,1,0,0
Tonight ,1,0,0
American Music Awards ,1,0,0
sunday. AMAs. ,1,0,0
 ,1,0,0
Wolves  ,1,0,0
been crying with the wolves to get to you ,1,0,0
"Blindly I am following, break down these walls and come on in ",1,0,0
Wolves video out now on apple -thank you to my Bay Area fam ,1,0,0
Wolves is out now!  ,1,0,0
 ,1,0,0
"I've been running through the jungle, I've been crying with the wolves... 10.25 ",1,0,0
10.25 ,1,0,0
Coming 10.25... WOLVES x ,1,0,0
Momma and I ,1,0,0
Join all of us right now!!! and on -we are one ,1,0,0
Officially a part of the fam ,1,0,0
"I'm very aware some of my fans had noticed I was laying low for part of the summer and questioning why I wasn't promoting my new music, which I was extremely proud of. So I found out I needed to get a kidney transplant due to my Lupus and was recovering. It was what I needed to do for my overall health. I honestly look forward to sharing with you, soon my journey through these past several months as I have always wanted to do with you. Until then I want to publicly thank my family and incredible team of doctors for everything they have done for me prior to and post-surgery. And finally, there aren't words to describe how I can possibly thank my beautiful friend Francia Raisa. She gave me the ultimate gift and sacrifice by donating her kidney to me. I am incredibly blessed. I love you so much sis. Lupus continues to be very misunderstood but progress is being made. For more information regarding Lupus please go to the Lupus Research Alliance website: www.lupusresearch.org/ -by grace through faith ",1,0,0
"Sometimes it's incredibly difficult to wake up every day knowing there is so much going on in the world. At times I feel selfish, I ask why, I ask how can this change? Will it actually ever change? I try to contribute my heart before anything because it can be so easy to lose the desire to have hope when sometimes all I want to be is angry. When I read about the beautiful women who wake up consciously every day to make a change, it inspires me to want to do so much more. Not really sure how I got so lucky but thank you for highlighting the power of what we can and will always strive to be. I believe in the goodness in the land of the living. I hope this is just the beginning of more change. ",1,0,0
Thank you for letting me be apart of the 5th annual print edition. Very grateful ,1,0,0
It's been so much fun working with and on designing my very own bag: the Selena Grace. Come see it and meet me at Coach House New York on Sept. 13! ,1,0,0
Also so stoked I got to show you a sneak peak at my bag I designed ,1,0,0
Ahhh!thank you Instyle!! wearing dress for the September cover! Photograph by Story by Hair for Makeup Fashion Editor Manicure: (basically the entire squad) ,1,0,0
Fetish Video directed by and ft. coming Wednesday. ,1,0,0
My people ,1,0,0
My Petra  ,1,0,0
Thank you for all of my bday love. I couldn't be more blessed. A lot of you don't realize how much you mean to me. I. Love. You. --think 25 is going to be epic. xo ,1,0,0
"I'm not surprised, I sympathize. ",1,0,0
Fetish. Thursday. ,1,0,0
JULY 13 ,1,0,0
FETISH ,1,0,0
family ,1,0,0
Fall 2017 campaign. Thank you ,1,0,0
Badliar --- ,1,0,0
 thanks for watching the music video ,1,0,0
Bad Liar video  ,1,0,0
Bad Liar with the all time brilliant Jesse Peretz ,1,0,0
Bad Liar music video is out by the way  ,1,0,0
- a film ,1,0,0
Coming soon ,1,0,0
Wednesday. ,1,0,0
 ,1,0,0
My heart will forever and always be with people. There's never enough I could do to thank you but more importantly show you that YOU matter and are beyond watched over. ,1,0,0
NY ,1,0,0
 ,1,0,0
What's to come is never what they expect  thank you for inspiring me to be me ,1,0,0
date night ,1,0,0
5.18 ,1,0,0
As the new face of they gave me the opportunity to personalize this bag for my Momma (that I'm pretty sure my sister is going to steal anyhow). This is a very common exchange between the two of us. Happy (early) Mother's Day to the woman who is the reason for my existence. ,1,0,0
So proud and grateful to and for tonight. Thank you so much Anna for a beautiful event and for what you do. ,1,0,0
Because it should be fun and truly authentic my crew  ,1,0,0
5th time being apart of the 2nd time hosting this amazing event. They have inspired and provided a platform to help kids and families be THE movement. They prove that you can do anything you set your mind to. No matter what age. ,1,0,0
Very much in my feelings about my big brother getting married. Even though we for sure knew it would be him first. May God bless you and your beautiful wife Henrie!  ,1,0,0
always playing and working on something magical  ,1,0,0
Wish the rest of the crew was with us today. Overwhelmed with the response and love is receiving. Thank you to each beautiful person who has watched and talked about the message of our show. ,1,0,0
"Our show came out tonight and I couldn't be more overwhelmed with pride and joy. After 7 years of holding onto this book, I couldn't of picked a better time for this message to exist. Jay Asher wrote a beautifully tragic, compelling story and we were lucky to have brought it to life. Thank you to every single soul that put their heart into this passion project ",1,0,0
is celebrating world kindness day and I got to spend it with people who fully will change our world one day. introduced me to which is an after school organization that encourages girls to believe that they have the capability to do anything they set their mind to. It's crazy to me how much they are willing put others before themselves. ,1,0,0
Wearing for !! ,1,0,0
I want to thank Rob Haskell for writing my story. I was a little nervous at how honest I was but you depicted where I'm at perfectly. I'm so grateful  ,1,0,0
Ok freaking out a little. Thrilled to share my first American cover with you! Read the story and see the full spread in the link in my bio. Photographed by and ,1,0,0
"Today I watched a sermon from one of my favorites. ""I don't really understand myself, for I want to do what is right, but I don't do it. Instead, I do what I hate."" Romans 7:15 ",1,0,0
"Thank you fam for 110. I promise I will continue to cherish my platform and speaking truth but more importantly, each and every one of you have changed my life. I'm very grateful. ",1,0,0
Proud of my trainers husband cause he's goals for real ,1,0,0
I have a full crush on ,1,0,0
Thursday. ,1,0,0
Morning walks ,1,0,0
"What 13 reasons why has represented was an authentic story of what every kid deals with in every day life. The pressure, the unrealistic expectations of what they believe they should be. Whether you have read this book or not, it's a story of what every kid does and will continue to go through - unless we keep talking about it. People are hurting and deserve to be heard. Tired of others portraying a false idea of what every day life is. I hope can enlighten people to what words mean when you say them. ",1,0,0
After 6 years waiting to find the perfect Hannah and Clay for I couldn't be luckier we cast these two  ,1,0,0
"Helping the guys get ready for the Grammys. I said ""anything Gosling would wear please."" ",1,0,0
My boy  ,1,0,0
my momma. I sit back and think about how much she has done and shown me.. it truly has blown me away. She teaches me most about life and I couldn't be luckier to have a partner like her in life ,1,0,0
My world  ,1,0,0
I love you ,1,0,0
"This was the day I was nervous as hell going into for the first time to talk about -my mom found this book in 2009 and worked her ass off to make it with me, guide me and tell this story authentically (the only reason, beside Jay this project was even made) ",1,0,0
Vente pa' ca ,1,0,0
Being able to create is my favorite thing in the whole world. I'm so excited to be a part of the vision and family AND I get the honor to design with -ahhhhhh ,1,0,0
I have a lot to be thankful for this year.. My year has been the hardest yet most rewarding one yet. I've finally fought the fight of not 'being enough'. I have only wanted to reflect the love you guys have given me for years and show how important it is to take care of YOU. By grace through faith. Kindness always wins. I love you guys. God bless ,1,0,0
One of my favorite nights on tour ,1,0,0
My entire heart ,1,0,0
My whole life. You matter most. Thank you for letting me do what I love every day. ,1,0,0
My love and I ,1,0,0
Nobody loves me like you do  ,1,0,0
 in ,1,0,0
My first cover came out -thank you so much! So grateful ,1,0,0
Japan ,1,0,0
"My sweet, hilarious and crazy soul my life completely changed when I met you. Thank you for putting up with me. You're for LIFE. I love you more than you hate affection. Happy bday ",1,0,0
my girlies  -too many stories ,1,0,0
the boys  ,1,0,0
-grateful ,1,0,0
Singapore ,1,0,0
"KL, from the car ",1,0,0
Beautiful people  ,1,0,0
focus ,1,0,0
when your lyrics are on the bottle  ,1,0,0
after two weeks on the studio bus safe to say this next album is  --- its just starting tho ,1,0,0
a few of my favs from our fam  ,1,0,0
The one thing that gets me going before anything.. Sheldon Cooper -Big Bang Theory ,1,0,0
preshow ,1,0,0
My godson watching his tia on stage -happy fathers day ,1,0,0
Checking ,1,0,0
Happy to finally share my first campaign --thank you and love you  ,1,0,0
"Atlanta, GA ",1,0,0
 ,1,0,0
"Couldn't go out tonight but I got love for you Washington, DC  ",1,0,0
Brooklyn ,1,0,0
Brooklyn babies! Sorry I couldn't get everyone in  ,1,0,0
arena vibes ,1,0,0
When I see my new costumes for stage -comin sooooon  ,1,0,0
Boston -you guys were LOUD  ,1,0,0
Toronto. ,1,0,0
My cover for with  exciting things coming with this brilliant man. Shot by the amazing ,1,0,0
"London, Ontario  ",1,0,0
"Ottawa, Canada -sick sick sick night  love you guys ",1,0,0
Due to safety I couldn't go outside tonight in Winnipeg. That did NOT stop me from gettin my pic tho  ,1,0,0
My littles. Saskatoon lovin ,1,0,0
s'mores ,1,0,0
restock the bus -grocery shopping in Saskatoon ,1,0,0
"Calgary, Canada  ALSO: meeting you guys after my shows has been such a highlight.. but because your safety is priority and most important if we can't keep them contained I'll have to stop. I'll do it for as long as I can, but you matter most. Love you guys. Can't wait to see you Saskatoon ",1,0,0
Walks through Calgary ,1,0,0
"Got you Edmonton, Canada ",1,0,0
TONIGHT  ,1,0,0
"Vancouver, Canada was LIT ",1,0,0
"Seattle, WA ",1,0,0
When you meet the boss and talk tech in a very unusual office ,1,0,0
"San Jose, CA ",1,0,0
"Sacramento, CA ",1,0,0
After my first show in Vegas.  ,1,0,0
My cover for Thank you to everyone involved! ,1,0,0
"Just like the last tour.. nothing's changed. Fresno, CA ",1,0,0
night 2  ,1,0,0
first show/tomorrow ,1,0,0
when the crew come together for and ,1,0,0
After we finish a show and don't mess it up ,1,0,0
Behind the scenes of //tour content ,1,0,0
Tour rehearsals ,1,0,0
ALSO all of my tattoos will be available.. Each and every one of them mean so much to me. --I have 7 tattoos (and counting) ,1,0,0
 ,1,0,0
this month -thank you for the rad article Zach ,1,0,0
74  ,1,0,0
"THE absolute best in the game. Honestly knowing this man for two years, learning and growing. Thank you  ",1,0,0
I am proud to be apart of what you do to inspire the world. WE are the next generation. By grace through faith. All I know is you can change the world  ,1,0,0
coming soon/ / REVIVAL tour '16 ,1,0,0
Love you ,1,0,0
Thank you -YOU guys though. Thank you for voting. You matter most ,1,0,0
"Also last thing, getting ready for tour and the kick off is in Vegas. This is what's happening after. Come ",1,0,0
sweets ,1,0,0
first time I ever lead worship. I got to perform my first worship song I ever wrote. So grateful for His grace and understanding. ,1,0,0
"tb to a sweet, small house in TX ",1,0,0
We have waited our whole lives for this  ,1,0,0
Papa  ,1,0,0
this -wishing I was with and right now ,1,0,0
Words can't describe how much I love this one right here ,1,0,0
Black and white makes life look sick. Had the best couple of days Paris. I snap chatted way too much while I was here. snap: selenagomez ,1,0,0
It's that time again- I love my family  ,1,0,0
It's fun to look cool sometimes ,1,0,0
We made it Paris ,1,0,0
Prepping for ,1,0,0
Thank you for the purty pic AND for always taking care of me! Love you so -I legit ripped my dress right after this shot. I blame in n out. ,1,0,0
Family ,1,0,0
 for today ,1,0,0
this is what was shining most -so proud of you Tay  ,1,0,0
last night was fun ,1,0,0
A little tb and a happy birthday to one of the kindest people I know AND someone who has inspired me for years! ,1,0,0
throwback -swag ,1,0,0
rp -facts ,1,0,0
Thank you AND for spending the day with me and eating chilis. ,1,0,0
Finally got to see our movie tonight at Sundance!!! So proud to have the closing film -can't wait for you guys to see it soooon ,1,0,0
Thank you for a childhood dream come true ... Did you guys see it?!  AH ,1,0,0
when they play your song at the club ,1,0,0
"your embrace is everything to me -hi, just love you guys ",1,0,0
Are we in the clear yet? ,1,0,0
love them ,1,0,0
Happy bday Orly -celebrate kindness and who you are ,1,0,0
"So happy and are partnering with -I've been an ambassador since I was 17, met Nicolas last year. SO grateful for the worlds to collide for a great cause. ",1,0,0
just discussing ,1,0,0
mood for all 60 million of you  -insane... thank YOU for living life with me. ,1,0,0
nothing makes my heart happier -my boys. For life ,1,0,0
... home. Literally nothing better than this. Sorry but not sorry LA. ,1,0,0
that one time we went to jail ,1,0,0
ready for you ,1,0,0
Happy birthday to my number one. cousins/sisters/therapists -I love you. ,1,0,0
Left my phone behind to be present! I am so grateful for the people I've met this year but more importantly for the people who have been consistent and by my side through thick and thin. That'd be YOU. Thank you for another year! Love you guys! ,1,0,0
tb ,1,0,0
I promise I have the biggest family. But my pride and joy lives with this one right here. ,1,0,0
-tomorrow ,1,0,0
MY godson  ,1,0,0
comin soon hehe ,1,0,0
"Thanks and to all my for 3 amazing years. I've had the best time guest designing my own clothing line for you. I'll be following for more exciting things coming up in 2016, make sure you do too! ",1,0,0
My baby did me up tonight.  ,1,0,0
I don't know life without you Taylor. Happy birthday! ,1,0,0
This means we had good lighting.. Right ladies??  ,1,0,0
My babe and I performing tonight for SO grateful to wrap up this year with the best people. Thank you NY!! ,1,0,0
Paul came to give me my award for women in music!!! ,1,0,0
Philly love -best ever. ,1,0,0
What my day looked like ,1,0,0
"Wait, on the low though... This was backstage. Why do you think I covered my stomach during the show??  watch on CBS!!! ",1,0,0
show is happening! Wish I was with all my angels right now! ,1,0,0
The time is almost here fashion show December 8th on CBS!! Hope you guys are having a great day/night  ,1,0,0
After the show is the after party.. Thank you for my stocking!!!  ,1,0,0
Jingle ball in Oakland!! Man I'm getting pumped for tour.... Thank you ,1,0,0
 ,1,0,0
Thank you and  ,1,0,0
-we just show up. Thank you for making us and all beautiful women feel beautiful ,1,0,0
Zzz ,1,0,0
my heart. ,1,0,0
ok no more  ,1,0,0
 ,1,0,0
"This show was a dream to be on. Thank you so much and all the angels for being SO nice, warm and fun!! -and looking at you guys all day wasn't hard to do at all  Abel killed it as usual and Ellie was shining brighter than ever! Can't wait for you guys to see it on December 8th!! K I'm done. What is life? Love you!! ",1,0,0
Thank you for my custom dress tonight. Felt like a true VS angel.  also shout out to the dream team and ,1,0,0
50 million  - I love you guys. You make me smile. And I love secretly stalking some of your pages. ,1,0,0
tonight ,1,0,0
t ,1,0,0
She's just awesome ,1,0,0
AKA -don't talk to me unless I've eaten ,1,0,0
one of my favs - ,1,0,0
That was the day we sold our show to  I'll just be freaking out over here. Congratulations to the whole team! ,1,0,0
Dylan ,1,0,0
It was kinda hard to go out tonight but I would do anything for -she deserves the award of the night at she makes us ladies feel beautiful always x ,1,0,0
My godson came to see his Tia in LA  ,1,0,0
REVIVAL ,1,0,0
